Cód. RCD Centro;Denom. Genérica Centro;Centro;Teléfono;Email;Municipio;Materia;;;;;;;;;;;;;;;;;;;;
22001243;Colegio Rural Agrupado;ALTO ARA;974 486 317;crabroto@educa.aragon.es;Broto;Aragonés;;;También tiene 1º y 2º de ESO;;;;;;;;;;;;;;;;;
22001875;Colegio de Educación Infantil y Primaria;MIGUEL SERVET;974 47 04 98;cpmsfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22001887;Colegio de Educación Infantil y Primaria;SAN JOSÉ DE CALASANZ;974 47 27 06;cpjcfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22001905;Colegio de Educación Infantil y Primaria;LITERA;974 47 04 30;cplitera@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22001191;Colegio de Educación Infantil y Primaria;VIRGEN DE LA SOLEDAD;974 27 25 62;cpbolea@educa.aragon.es;Bolea;Aragonés;;;;;;;;;;;;;;;;;;;;
22004566;Colegio de Educación Infantil y Primaria;COLLARADA;974 37 80 43;cpvillanua@educa.aragon.es;Villanúa;Aragonés;;;;;;;;;;;;;;;;;;;;
22002673;Colegio de Educación Infantil y Primaria;SAN JUAN DE LA PEÑA;974 35 63 70;cpsjphuesca@educa.aragon.es;Jaca;Aragonés;;;;;;;;;;;;;;;;;;;;
22003835;Colegio de Educación Infantil y Primaria;MONTECORONA;974 48 40 38;ceipmontecorona@educa.aragon.es;Sabiñánigo ;Aragonés;;;;;;;;;;;;;;;;;;;;
22002341;Colegio de Educación Infantil y Primaria;SANCHO RAMIREZ;974 24 24 83;cpsrahuesca@educa.aragon.es;Huesca;Aragonés;;;;;;;;;;;;;;;;;;;;
22000299;Colegio de Educación Infantil y Primaria;SANTOS SAMPER;974 25 02 18;cpssalmudevar@educa.aragon.es;Almudevar;Aragonés;;;;;;;;;;;;;;;;;;;;
22000071;Colegio de Educación Infantil y Primaria;ASUNCIÓN PAÑART;974 51 00 40;cpainsa@educa.aragon.es;Ainsa;Aragonés;;;;;;;;;;;;;;;;;;;;
22000585;Centro Público Integrado;RAMÓN Y CAJAL;974 38 00 28;correo@rycayerbe.es;Ayerbe;Aragonés;;;;;;;;;;;;;;;;;;;;
22002156;Colegio de Educación Infantil y Primaria;JOAQUÍN COSTA;974 54 01 18;cpjcgraus@educa.aragon.es;Graus;Aragonés;;;;;;;;;;;;;;;;;;;;
22003100;Colegio de Educación Infantil y Primaria;SAN GINÉS;974 27 00 24;cplupinen@educa.aragon.es;Lupiñén;Aragonés;;;;;;;;;;;;;;;;;;;;
22005881;Colegio Rural Agrupado;ALTA RIBAGORZA;974 55 11 80;crabenasque@educa.aragon.es;Benasque;Aragonés;;;;;;;;;;;;;;;;;;;;
22005704;Colegio Rural Agrupado;BAJA RIBAGORZA;974 54 04 32;crabribagorza@gmail.com;Capella;Aragonés;;;;;;;;;;;;;;;;;;;;
22005716;Colegio Rural Agrupado;ESTADILLA-FONZ;974 41 20 31;crafonz@educa.aragon.es;Fonz;Aragonés;;;;;;;;;;;;;;;;;;;;
22005698;Colegio Rural Agrupado;A REDOLADA;974 30 07 43;craperalta@educa.aragon.es;Peralta de Alcofea;Aragonés;;;;;;;;;;;;;;;;;;;;
22006095;Instituto de Educación Secundaria;CASTEJÓN DE SOS;974 55 33 08;iescastejons@educa.aragon.es;Castejón de Sos;Aragonés;;;;;;;;;;;;;;;;;;;;
22004891;Instituto de Educación Secundaria;BIELLO ARAGÓN;974 48 26 82;iesbasabinanigo@educa.aragon.es;Sabiñánigo ;Aragonés;;;;;;;;;;;;;;;;;;;;
22006125;Sección de Instituto de Educación Secundaria;BIESCAS;974 49 56 34;jefaturabiescas@iesbielloaragon.es;Biescas;Aragonés;;;;;;;;;;;;;;;;;;;;
22005406;Instituto de Educación Secundaria;SOBRARBE;974 50 00 56;iesainsa@educa.aragon.es;Ainsa;Aragonés;;;;;;;;;;;;;;;;;;;;
22006137;Centro de Educación Secundaria;VALLE DE BENASQUE;974 55 21 07;correo@cesbenasque.es;Benasque;Aragonés;;;;;;;;;;;;;;;;;;;;
22003586;Colegio Rural Agrupado;CINCA-CINQUETA;974 50 61 61;crabielsa@educa.aragon.es;Plan;Aragonés;;;;;;;;;;;;;;;;;;;;
22003926;Colegio de Educación Infantil y Primaria;MIGUEL SERVET;974 48 43 00;cpsenegue@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;;;;;;;;;;;;;;
22004271;Colegio de Educación Infantil y Primaria;SAN MIGUEL;974 42 03 71;cpsmtamarite@educa.aragon.es;Tamarite de Litera;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22004608;Colegio de Educación Infantil y Primaria;SAN JUAN BAUTISTA;974 47 82 08;cpzaidin@educa.aragon.es;Zaidín;Lengua Catalana;;;También tienen 1º y 2º ESO ;;;;;;;;;;;;;;;;;
22004839;Colegio de Educación Infantil y Primaria;MONTE OROEL;974 35 64 59;ceipmonteoroel@educa.aragon.es;Jaca;Aragonés;;;;;;;;;;;;;;;;;;;;
22005054;Colegio de Educación Infantil y Primaria;VIRGEN DE LOS RÍOS;974 35 97 96;cpcaldearenas@educa.aragon.es;Caldearenas;Aragonés;;;;;;;;;;;;;;;;;;;;
22005340;Colegio de Educación Infantil y Primaria;VALLE DEL GUARGA;974 33 79 50;cpaineto@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;;;;;;;;;;;;;;
22005674;Colegio Rural Agrupado;LA LLITERA;974 42 14 07;craalbelda@educa.aragon.es;Albelda;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22005731;Colegio Rural Agrupado;ALTO GÁLLEGO;974 48 53 08;crabiescas@educa.aragon.es;Biescas;Aragonés;;;;;;;;;;;;;;;;;;;;
22005789;Colegio Rural Agrupado;RÍO ARAGÓN;974 37 70 49;direccion@crarioaragon.es;Santa Cilia;Aragonés;;;También tiene 1º y 2º de ESO;;;;;;;;;;;;;;;;;
22005807;Colegio Rural Agrupado;RIBERA DEL CINCA;974 46 71 42;cratorrente@educa.aragon.es;Torrente de Cinca;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22005819;Colegio Rural Agrupado;DE ALTORRICÓN;974 42 52 02;craaltorricon@educa.aragon.es;Altorricón;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22010876;Colegio de Educación Infantil y Primaria;MARÍA MOLINER;974 47 10 54;cpfragaiii@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22010980;Centro Público Integrado;DE BENABARRE;974 54 32 55;cpibenabarre@educa.aragon.es;Benabarre;Lengua Catalana;;;Infantil, Primaria y  Secundaria;;;;;;;;;;;;;;;;;
22010992;Colegio de Educación Infantil y Primaria;ARÉN;974 54 20 70;ceiparen@educa.aragon.es;Arén;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
22011005;Colegio de Educación Infantil y Primaria;MONTANUY;974 55 40 39;ceipmontanuy@educa.aragon.es;Montanuy;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Colegio Concertado;SANTA ANA;;;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
