CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Cód. RCD Centro;Domicilio;Provincia;Municipio;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;9
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );22600023;Plaza Catedral, 1;Huesca;Huesca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;22600035;AYUNTAMIENTO DE JACA;22600035;C/ Mayor, 24;Huesca;Jaca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;22600035;AYUNTAMIENTO DE JACA;22600035;C/ Mayor, 24;Huesca;Jaca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;22600035;AYUNTAMIENTO DE JACA;22600035;C/ Mayor, 24;Huesca;Jaca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;22600035;AYUNTAMIENTO DE JACA;22600035;C/ Mayor, 24;Huesca;Jaca;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;48
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;32
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;37
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;19
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;28
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;20 Años;1
