Cód. RCD Centro;Denom. Genérica Centro;Centro;Teléfono;Email;Municipio;Materia;;;;;;;
22001243;Colegio Rural Agrupado;ALTO ARA;974 486 317;crabroto@educa.aragon.es;Broto;Aragonés;;;;;;;
22001875;Colegio de Educación Infantil y Primaria;MIGUEL SERVET;974 47 04 98;cpmsfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22001887;Colegio de Educación Infantil y Primaria;SAN JOSÉ DE CALASANZ;974 47 27 06;cpjcfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22001905;Colegio de Educación Infantil y Primaria;LITERA;974 47 04 30;cplitera@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22003586;Colegio Rural Agrupado;CINCA-CINQUETA;974 50 61 61;crabielsa@educa.aragon.es;Plan;Aragonés;;;;;;;
22003926;Colegio de Educación Infantil y Primaria;MIGUEL SERVET;974 48 43 00;cpsenegue@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;
22004271;Colegio de Educación Infantil y Primaria;SAN MIGUEL;974 42 03 71;cpsmtamarite@educa.aragon.es;Tamarite de Litera;Lengua Catalana;;;;;;;
22004608;Colegio de Educación Infantil y Primaria;SAN JUAN BAUTISTA;974 47 82 08;cpzaidin@educa.aragon.es;Zaidín;Lengua Catalana;;;;;;;
22004839;Colegio de Educación Infantil y Primaria;MONTE OROEL;974 35 64 59;ceipmonteoroel@educa.aragon.es;Jaca;Aragonés;;;;;;;
22005054;Colegio de Educación Infantil y Primaria;VIRGEN DE LOS RÍOS;974 35 97 96;cpcaldearenas@educa.aragon.es;Caldearenas;Aragonés;;;;;;;
22005340;Colegio de Educación Infantil y Primaria;VALLE DEL GUARGA;974 33 79 50;cpaineto@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;
22005674;Colegio Rural Agrupado;LA LLITERA;974 42 14 07;craalbelda@educa.aragon.es;Albelda;Lengua Catalana;;;;;;;
22005731;Colegio Rural Agrupado;ALTO GÁLLEGO;974 48 53 08;crabiescas@educa.aragon.es;Biescas;Aragonés;;;;;;;
22005789;Colegio Rural Agrupado;RÍO ARAGÓN;974 37 70 49;direccion@crarioaragon.es;Santa Cilia;Aragonés;;;;;;;
22005807;Colegio Rural Agrupado;RIBERA DEL CINCA;974 46 71 42;cratorrente@educa.aragon.es;Torrente de Cinca;Lengua Catalana;;;;;;;
22005819;Colegio Rural Agrupado;DE ALTORRICÓN;974 42 52 02;craaltorricon@educa.aragon.es;Altorricón;Lengua Catalana;;;;;;;
22010876;Colegio de Educación Infantil y Primaria;MARÍA MOLINER;974 47 10 54;cpfragaiii@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22010980;Centro Público Integrado;DE BENABARRE;974 54 32 55;cpibenabarre@educa.aragon.es;Benabarre;Lengua Catalana;;;;;;;
22010992;Colegio de Educación Infantil y Primaria;ARÉN;974 54 20 70;ceiparen@educa.aragon.es;Arén;Lengua Catalana;;;;;;;
22011005;Colegio de Educación Infantil y Primaria;MONTANUY;974 55 40 39;ceipmontanuy@educa.aragon.es;Montanuy;Lengua Catalana;;;;;;;
22001899;Colegio Concertado;SANTA ANA;;csantanafraga@gmail.com;Fraga;Lengua Catalana;;;;;;;
22004888;Instituto de Enseñanza Secundaria;BAJO CINCA;;iesbcfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22002168;Instituto de Enseñanza Secundaria;BALTASAR GRACIÁN;;iesgraus@educa.aragon.es;Graus (No de habla cat.);Lengua Catalana;;;;;;;
22005391;Instituto de Enseñanza Secundaria;LA LLITERA;;iestamarite@educa.aragon.es;Tamarite de Litera;Lengua Catalana;;;;;;;
22001917;Instituto de Enseñanza Secundaria;RAMÓN J. SENDER;;iesrsfraga@educa.aragon.es;Fraga;Lengua Catalana;;;;;;;
22001191;Colegio de Educación Infantil y Primaria;Virgen de la Soledad;;cpbolea@educa.aragon.es;Bolea;Aragonés;;;;;;;
22004566;Colegio de Educación Infantil y Primaria;Collarada;;cpvillanua@educa.aragon.es;Villanúa;Aragonés;;;;;;;
22002673;Colegio de Educación Infantil y Primaria;San Juan de la Peña;;cpsjphuesca@educa.aragon.es;Jaca;Aragonés;;;;;;;
22003835;Colegio de Educación Infantil y Primaria;Montecorona;974 48 40 38;ceipmontecorona@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;
22002341;Colegio de Educación Infantil y Primaria;Sancho Ramirez;;cpsrahuesca@educa.aragon.es;Huesca;Aragonés;;;;;;;
22000299;Colegio de Educación Infantil y Primaria;Santos Samper;;cpssalmudevar@educa.aragon.es;Almudevar;Aragonés;;;;;;;
22000071;Colegio de Educación Infantil y Primaria;Asunción Pañart;;cpainsa@educa.aragon.es;Ainsa;Aragonés;;;;;;;
22000585;Centro Público Integrado;Ramón y Cajal;;cpayerbe@educa.aragon.es;Ayerbe;Aragonés;;;;;;;
22002156;Colegio de Educación Infantil y Primaria;Joaquín Costa;;cpjcgraus@educa.aragon.es;Graus  ;Aragonés;;;;;;;
22003100;Colegio de Educación Infantil y Primaria;San Ginés;;cplupinen@educa.aragon.es;Lupiñén;Aragonés;;;;;;;
22005881;Colegio Rural Agrupado;Alta Ribagorza;;crabenasque@educa.aragon.es;Benasque;Aragonés;;;;;;;
22005704;Colegio Rural Agrupado;Baja Ribagorza;;cracapella@educa.aragon.es;Capella;Aragonés;;;;;;;
22005716;Colegio Rural Agrupado;Estadilla-Fonz;;crafonz@educa.aragon.es;Fonz;Aragonés;;;;;;;
22005698;Colegio Rural Agrupado;A Redolada;;craperalta@educa.aragon.es;Peralta de Alcofea;Aragonés;;;;;;;
22006095;Instituto de Enseñanza Secundaria;Castejón de Sos;;iescastejons@educa.aragon.es;Castejón de Sos;Aragonés;;;;;;;
22004891;Instituto de Enseñanza Secundaria;Biello Aragón;;iesbasabinanigo@educa.aragon.es;Sabiñánigo;Aragonés;;;;;;;
22006125;Sección del Instituto de Enseñanza Secundaria;Biescas;974 49 56 34;jefaturabiescas@iesbielloaragon.es;Biescas;Aragonés;;;;;;;
22005406;Instituto de Enseñanza Secundaria;Sobrarbe;;iesainsa@educa.aragon.es;Ainsa;Aragonés;;;;;;;
22006137;Centro de Educación Secundaria;Valle de Benasque;974 55 21 07;correo@cesbenasque.es;Benasque;Aragonés;;;;;;;
