CCENTRO;DCENTRO;EMAIL;TELEFONO
50019068;DE TORRES DE BERRELLÉN;ayuntamiento@torresdeberrellen.net;976.653.101
50019044;DE LUMPIAQUE;aytolum@terra.es;976.601.650
50019056;EL JARDINCILLO;paniza@dpz.es;976.622.745
44010616;SAGALETS (AULA DE CRETAS);administracion@matarranya.org;978.890.860
44010604;DE CALACEITE;aytocalaceite@aragon.es;978.851.339
22010773;VILLA DE TARDIENTA;aytotardienta@aragon.es;974.253.001
22010785;TREVIÑER;aytoadahuesca@terra.es;974.318.151
50019032;ZAGALICOS;aguaron@campodecarinena.org;976.622.358
50700070;DE ALAGÓN;eoepalagon@educa.aragon.es;976.613.442
50700082;DE CALATAYUD;eoepcalatayud@educa.aragon.es;976.884.187
50700094;DE CASPE;eoepcaspe@educa.aragon.es;976.631.608
50700100;DE EJEA DE LOS CABALLEROS;eoepejea@educa.aragon.es;976.662.877
50700124;DE LA ALMUNIA DE DOÑA GODINA;eoepalmunia@educa.aragon.es;976.812.552
50700136;DE TARAZONA;eoeptarazona@educa.aragon.es;976.644.787
50700148;NÚMERO 4 DE ZARAGOZA;eoepzaragoza4@educa.aragon.es;976.440.887
50700151;NÚMERO 1 DE ZARAGOZA;eoepzaragoza1@educa.aragon.es;976.529.587
50700161;NÚMERO 2 DE ZARAGOZA;eoepzaragoza2@educa.aragon.es;976.594.413
50700173;NÚMERO 3 DE ZARAGOZA;eoepzaragoza3@educa.aragon.es;976.300.382
50700185;DE FUENTES DE EBRO;eoepfuentes@educa.aragon.es;976.160.938
44700116;DE ANDORRA;cprandorra@educa.aragon.es;978.842.144
44700131;ALCORISA;crietalcorisa@educa.aragon.es;978.840.503
44700141;ALBARRACIN;crietalbarracin@educa.aragon.es;978.710.153
44700153;CALAMOCHA;crietcalamocha@educa.aragon.es;978.732.308
22700017;DE GRAUS;cprgraus@educa.aragon.es;974.541.125
22700029;ANA ABARCA DE BOLEA;cprhuesca@educa.aragon.es;974.227.361
22700030;DE MONZÓN;cprmonzon@educa.aragon.es;974.403.134
50010791;ESCUELA UNIVERSITARIA DE ESTUDIOS SOCIAL;admeuesz@unizar.es;976.762.121
50701013;NÚMERO 5 DE ZARAGOZA;eoeip5zaragoza@educa.aragon.es;
50019536;ARQUERITOS;info@arqueritos.es;876.283.198
22011066;DE SIÉTAMO;;
22011030;ARAMÓN CERLER FORMACIÓN;;
22011042;ARAMÓN FORMIGAL - PANTICOSA FORMACIÓN;;
44010744;HERMANAS CATALÁN DE OCÓN;cpeaiglesuela@educa.aragon.es;964.443.410
44010689;GAG CU CU-TRAS TRAS;info@cucutrastrasteruel.es;978.227.224
50019433;LUNA;info@ceiluna.com;976.297.057
50019421;SMALL WORLD;;
50019573;PABLO GARGALLO;iespagazaragoza@educa.aragon.es;
44010756;INFANTIL 0-3 LA PURÍSIMA MONTESSORI;;
50019779;ADUNARE-VALDEFIERRO;;
50019792;MARÍA ZAMBRANO;ceipmariazambrano@educa.aragon.es;876.286.890
22010967;KATIA ACÍN;ceipkatiaacin@educa.aragon.es;
22010979;RÍO VERO;;
50701116;CENTRO ARAGONES PARA LA COMUNICACIÓN A A;;
50019810;ACAMÚSICA;info@acamusica.com;976.704.007
22010980;DE BENABARRE;;
22010992;DE ARÉN;;
22011005;DE MONTANUY;;
50019895;ADUNARE-DELICIAS;;
22011017;DE ESTADILLA;;
44010771;DE ALLOZA;;
50019342;REINO MENUDO;info@reinomenudo.es;876.244.966
50019366;MI CASITA EN EL JARDÍN;consuelolivan@yahoo.es;976.102.453
50019378;INTERNACIONAL ÁNFORA;secretaria@colegiointernacionalanfora.com;976.463.221
50019381;ANDRÉS GARDE ERIKSON;info@eriksonlab.com;976.546.555
50701037;TRASTORNOS GRAVES DEL DESARROLLO;;
44010690;SAGALETS (AULA DE LA PORTELLADA);administracion@matarranya.org;978.890.860
50019469;BOSQUE TERNURA 2;ceibosqueternura@hotmail.com;976.298.845
50019494;BALÚ;balucentroinfantil@gmail.com;976.958.875
50019548;ARCOSUR;ceiparcosur@educa.aragon.es;876.280.570
50019551;VALDESPARTERA III;cpivaldespartera3@educa.aragon.es;976.876.919
50019597;PARQUE VENECIA;cpiparquevenecia@educa.aragon.es;876.286.890
50019640;FORMACCIONA;info@formacciona.com;976.249.622
50019731;DE FIGUERUELAS;ceipfigueruelas@educa.aragon.es;976.656.240
50019743;ISABELINOS;isabelinoscei@gmail.com;636.175.607
50019755;NEMOMARLIN PASEO DE SAGASTA;;
50701128;EN TRASTORNOS DEL ESPECTRO AUTISTA;equipoorientaciontea@educa.aragon.es;
50019780;ANA MARÍA NAVALES;;
