ensenanza,curso,codmodalidad,modalidad,turno,exp,sexo,codcentro,centro,provincia,localidad,nmatriculado
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20030000223274,Mujer,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000170275,Hombre,44003211,SANTA EMERENCIANA,Teruel,Teruel,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000170454,Mujer,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000170522,Hombre,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000170792,Hombre,50007017,MARÍA AUXILIADORA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000170982,Hombre,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000171628,Mujer,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000171706,Hombre,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000171730,Mujer,44004653,PABLO SERRANO,Teruel,Andorra,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000173097,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000173176,Hombre,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000173258,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000175515,Mujer,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000175521,Hombre,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000176029,Hombre,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000176700,Mujer,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000177168,Hombre,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000178426,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000178575,Hombre,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000179656,Mujer,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000179886,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000179898,Mujer,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000180936,Hombre,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000181542,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000182155,Mujer,44005177,BAJO ARAGÓN,Teruel,Alcañiz,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000182168,Hombre,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000183367,Mujer,44004653,PABLO SERRANO,Teruel,Andorra,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000183594,Hombre,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20040000322900,Hombre,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000186096,Hombre,50010168,CONDES DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000186348,Hombre,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000187012,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000200976,Hombre,50006529,EL BUEN PASTOR,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217003,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217209,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217215,Mujer,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217220,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217332,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217417,Hombre,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217497,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217524,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217686,Mujer,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000217767,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218057,Mujer,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218134,Mujer,50010168,CONDES DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218179,Mujer,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218292,Mujer,50010041,PEDRO CERRADA,Zaragoza,Utebo,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218409,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218482,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218557,Hombre,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218613,Mujer,50011070,SIGLO XXI,Zaragoza,Pedrola,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218646,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218690,Hombre,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000218741,Mujer,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000219386,Mujer,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000219423,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000219730,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000219746,Hombre,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000219756,Hombre,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220038,Hombre,44004653,PABLO SERRANO,Teruel,Andorra,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220332,Mujer,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220377,Hombre,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220596,Mujer,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220602,Mujer,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000220750,Mujer,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000221160,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000221290,Hombre,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000221505,Mujer,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000221591,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000221696,Mujer,50010041,PEDRO CERRADA,Zaragoza,Utebo,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222013,Hombre,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222370,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222393,Mujer,50010041,PEDRO CERRADA,Zaragoza,Utebo,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222700,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222797,Hombre,50006529,EL BUEN PASTOR,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222916,Hombre,44005177,BAJO ARAGÓN,Teruel,Alcañiz,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000222978,Mujer,50011070,SIGLO XXI,Zaragoza,Pedrola,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223006,Mujer,44005177,BAJO ARAGÓN,Teruel,Alcañiz,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223081,Hombre,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223124,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
