ensenanza;curso;codmodalidad;modalidad;turno;dencentro;codcentro;nombrecentro;provincia;localidad;ngrupos;nmatriculado
[Sin especificar];-1;;[Sin especificar];[Sin especificar];Instituto de Educación Secundaria;22003902;SAN ALBERTO MAGNO;Huesca;Sabiñánigo;;1
[Sin especificar];-1;;[Sin especificar];[Sin especificar];Centro Privado de Educación Secundaria;22003239;SANTO DOMINGO SAVIO;Huesca;Monzón;;1
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004633;EL PARQUE;Huesca;Huesca;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010992;ARÉN;Huesca;Arén;;5
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22011005;MONTANUY;Huesca;Montanuy;;3
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003090;PIERRES VEDEL;Teruel;Teruel;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005677;JUAN PABLO BONET;Zaragoza;Movera;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005744;ANDRÉS OLIVÁN;Zaragoza;San Juan de Mozarrifar;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005914;RECARTE Y ORNAT;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005951;DOMINGO MIRAL;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005963;FERNANDO EL CATÓLICO;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006001;JERÓNIMO ZURITA Y CASTRO;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006049;JULIÁN SANZ IBÁÑEZ;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006074;MARCOS FRECHÍN;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006128;SAN BRAULIO;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006207;CALIXTO ARIÑO-HILARIO VAL;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50008149;EUGENIO LÓPEZ Y LÓPEZ;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50008691;RAMIRO SOLÁNS;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50009373;JOSÉ CAMÓN AZNAR;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50009749;LA ESTRELLA;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50010171;HERMANOS MARX;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50010478;CIUDAD DE ZARAGOZA;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50011801;JOSÉ ANTONIO LABORDETA SUBÍAS;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50018830;VADORREY-LES ALLÉES;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Centro Público Integrado;50011288;CASTILLO QADRIT;Zaragoza;Cadrete;2;33
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Centro Público Integrado;50017072;PARQUE GOYA;Zaragoza;Zaragoza;1;18
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000071;ASUNCIÓN PAÑART MONTANER;Huesca;Aínsa;2;24
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000251;JOSÉ MANUEL BLECUA;Huesca;Alcolea de Cinca;2;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000299;SANTOS SAMPER SARASA;Huesca;Almudévar;1;13
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000706;FRANCISCO GALIAY SARAÑANA;Huesca;Ballobar;2;12
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000721;ALTO ARAGÓN;Huesca;Barbastro;2;38
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000731;LA MERCED;Huesca;Barbastro;2;37
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001073;VÍCTOR MENDOZA MENDOZA;Huesca;Binéfar;3;54
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001191;VIRGEN DE LA SOLEDAD;Huesca;Bolea;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001358;CERBÍN;Huesca;Campo;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001437;LOS ARAÑONES;Huesca;Canfranc-Estación;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;Huesca;Fraga;2;35
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;Huesca;Fraga;2;45
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001905;LITERA;Huesca;Litera;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;Huesca;Tierrantona;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;Huesca;Grañén;1;11
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;Huesca;Graus;2;33
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002302;JUAN XXIII;Huesca;Huesca;3;52
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002338;PÍO XII;Huesca;Huesca;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002341;SANCHO RAMÍREZ;Huesca;Huesca;3;49
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002351;SAN VICENTE;Huesca;Huesca;2;41
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002569;ALCORAZ;Huesca;Huesca;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002673;SAN JUAN DE LA PEÑA;Huesca;Jaca;3;63
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003100;SAN GINÉS;Huesca;Lupiñén;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003215;JOAQUÍN COSTA;Huesca;Monzón;2;38
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003835;MONTECORONA;Huesca;Sabiñánigo;2;32
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003847;PUENTE SARDAS;Huesca;Sabiñánigo;1;16
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004104;LA LAGUNA;Huesca;Sariñena;2;40
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004189;ALBERTO GALINDO;Huesca;Sena;1;2
