centro;nal
LOS ENLACES;1464
CORONA DE ARAGON;1184
MIRALBUENO;743
SANTIAGO HERNANDEZ;681
PABLO SERRANO;663
OBRA DIOCESANA SANTO DOMINGO DE SILOS;650
VIRGEN DEL PILAR;649
SALESIANO NTRA. SRA.DEL PILAR;625
RIO GALLEGO;616
MIGUEL CATALAN;580
SIERRA DE GUARA;572
BAJO ARAGON;553
SAN VALERO;540
LUIS BUNUEL;534
ACADEMIA MARCO;530
COLEGIO MONTESSORI;490
MONTEARAGON;454
AVEMPACE;419
PIRAMIDE;410
TIEMPOS MODERNOS;403
VEGA DEL TURIA;390
ITACA;383
SEGUNDO DE CHOMON;380
SANTA EMERENCIANA;363
DE MOVERA;362
MARTINEZ VARGAS;353
MARIA MOLINER;342
CEFOR IZQUIERDO;302
PEDRO CERRADA;280
TUBALCAIN;258
ESCOLAPIAS SANTA ENGRACIA;241
DE SAN BLAS;209
MAR DE ARAGON;197
LA SALLE-SANTO ANGEL;195
PILAR LORENGAR;189
VALLE DE TENA;186
EMILIO JIMENO;183
SAN LORENZO;177
SANTO DOMINGO SAVIO;175
FRANCES DE ARANDA;168
SALESIANOS LAVIAGA-CASTILLO;167
ANDALAN;163
CINCO VILLAS;160
JOSE MOR DE FUENTES;155
CONDES DE ARAGON;154
SIGLO XXI;153
GALLICUM;139
EL BUEN PASTOR;138
MARIA AUXILIADORA;138
LEONARDO DE CHABACIER;135
ARSENIO JIMENO;134
ESCUELA DE HOSTELERIA DE TERUEL;128
BAJO CINCA;125
BIELLO ARAGON;118
REYES CATOLICOS;117
FERNANDO LAZARO CARRETER;112
JOSE MANUEL BLECUA;100
BENJAMIN JARNES;99
RODANAS;99
SIERRA DE SAN QUILEZ;93
PIRINEOS;91
SAN VICENTE DE PAUL;83
PLUS ULTRA;81
INSTITUTO DE FORMACION AGROAMBIENTAL;81
CABANAS;79
HERMANOS ARGENSOLA;71
FUNDACION LABORAL DE LA CONSTRUCCION;66
E.F.A. LA NORIA;65
E.F.A. BOALARES;64
RAMON Y CAJAL;59
ALAUN;59
RIO ARBA;55
JUAN DE LANUZA;51
ZAURIN;51
MATARRANA;50
DAMIAN FORMENT;47
LA LLITERA;46
SAN ALBERTO MAGNO;43
JOAQUIN COSTA;43
E.F.A. EL SALTO;39
SALVADOR VICTORIA;38
NTRA. SRA. DE GUAYENTE;36
SAN GABRIEL;34
DE LA PUEBLA DE ALFINDEN;33
MONEGROS-GASPAR LAX;29
ESCUELAS PIAS;28
SOBRARBE;27
SIERRA DE LA VIRGEN;27
SANTA AGATOCLIA;26
PADRE ENRIQUE DE OSSO;26
PEDRO DE LUNA;25
ANGEL SANZ BRIZ;25
LA PURISIMA PARA NINOS SORDOS;25
MIGUEL DE MOLINOS;24
VALLE DEL JILOCA;24
FELIX DE AZARA;24
NTRA. SRA. DEL CARMEN Y SAN JOSE;24
RAMON J. SENDER;21
PABLO GARGALLO;19
SAN JOSE DE CALASANZ;19
BALTASAR GRACIAN;17
GUDAR-JAVALAMBRE;10
VALLE DEL GUADALOPE;10
