centro;alZaragoza;alTeruel;alHuesca
ACADEMIA MARCO;530;0;0
ALAUN;59;0;0
ANDALAN;163;0;0
ANGEL SANZ BRIZ;25;0;0
ARSENIO JIMENO;134;0;0
AVEMPACE;419;0;0
BAJO ARAGON;0;553;0
BAJO CINCA;0;0;125
BALTASAR GRACIAN;0;0;17
BENJAMIN JARNES;99;0;0
BIELLO ARAGON;0;0;118
CABANAS;79;0;0
CEFOR IZQUIERDO;302;0;0
CINCO VILLAS;160;0;0
COLEGIO MONTESSORI;490;0;0
CONDES DE ARAGON;154;0;0
CORONA DE ARAGON;1184;0;0
DAMIAN FORMENT;0;47;0
DE LA PUEBLA DE ALFINDEN;33;0;0
DE MOVERA;362;0;0
DE SAN BLAS;0;209;0
E.F.A. BOALARES;64;0;0
E.F.A. EL SALTO;39;0;0
E.F.A. LA NORIA;65;0;0
EL BUEN PASTOR;138;0;0
EMILIO JIMENO;183;0;0
ESCOLAPIAS SANTA ENGRACIA;241;0;0
ESCUELA DE HOSTELERIA DE TERUEL;0;128;0
ESCUELAS PIAS;0;0;28
FELIX DE AZARA;24;0;0
FERNANDO LAZARO CARRETER;0;112;0
FRANCES DE ARANDA;0;168;0
FUNDACION LABORAL DE LA CONSTRUCCION;66;0;0
GALLICUM;139;0;0
GUDAR-JAVALAMBRE;0;10;0
HERMANOS ARGENSOLA;0;0;71
INSTITUTO DE FORMACION AGROAMBIENTAL;0;0;81
ITACA;383;0;0
JOAQUIN COSTA;43;0;0
JOSE MANUEL BLECUA;100;0;0
JOSE MOR DE FUENTES;0;0;155
JUAN DE LANUZA;51;0;0
LA LLITERA;0;0;46
LA PURISIMA PARA NINOS SORDOS;25;0;0
LA SALLE-SANTO ANGEL;195;0;0
LEONARDO DE CHABACIER;135;0;0
LOS ENLACES;1464;0;0
LUIS BUNUEL;534;0;0
MAR DE ARAGON;197;0;0
MARIA AUXILIADORA;138;0;0
MARIA MOLINER;342;0;0
MARTINEZ VARGAS;0;0;353
MATARRANA;0;50;0
MIGUEL CATALAN;580;0;0
MIGUEL DE MOLINOS;24;0;0
MIRALBUENO;743;0;0
MONEGROS-GASPAR LAX;0;0;29
MONTEARAGON;0;0;454
NTRA. SRA. DE GUAYENTE;0;0;36
NTRA. SRA. DEL CARMEN Y SAN JOSE;24;0;0
OBRA DIOCESANA SANTO DOMINGO DE SILOS;650;0;0
PABLO GARGALLO;19;0;0
PABLO SERRANO;502;161;0
PADRE ENRIQUE DE OSSO;26;0;0
PEDRO CERRADA;280;0;0
PEDRO DE LUNA;25;0;0
PILAR LORENGAR;189;0;0
PIRAMIDE;0;0;410
PIRINEOS;0;0;91
PLUS ULTRA;81;0;0
RAMON J. SENDER;0;0;21
RAMON Y CAJAL;0;0;59
REYES CATOLICOS;117;0;0
RIO ARBA;55;0;0
RIO GALLEGO;616;0;0
RODANAS;99;0;0
SALESIANO NTRA. SRA.DEL PILAR;625;0;0
SALESIANOS LAVIAGA-CASTILLO;167;0;0
SALVADOR VICTORIA;0;38;0
SAN ALBERTO MAGNO;0;0;43
SAN GABRIEL;34;0;0
SAN JOSE DE CALASANZ;0;0;19
SAN LORENZO;0;0;177
SAN VALERO;540;0;0
SAN VICENTE DE PAUL;83;0;0
SANTA AGATOCLIA;26;0;0
SANTA EMERENCIANA;0;363;0
SANTIAGO HERNANDEZ;681;0;0
SANTO DOMINGO SAVIO;0;0;175
SEGUNDO DE CHOMON;0;380;0
SIERRA DE GUARA;0;0;572
SIERRA DE LA VIRGEN;27;0;0
SIERRA DE SAN QUILEZ;0;0;93
SIGLO XXI;153;0;0
SOBRARBE;0;0;27
TIEMPOS MODERNOS;403;0;0
TUBALCAIN;258;0;0
VALLE DE TENA;186;0;0
VALLE DEL GUADALOPE;0;10;0
VALLE DEL JILOCA;0;24;0
VEGA DEL TURIA;0;390;0
VIRGEN DEL PILAR;649;0;0
ZAURIN;51;0;0
