centro;alMujer;alHombre
ACADEMIA MARCO;328;202
ALAUN;29;30
ANDALAN;64;99
ANGEL SANZ BRIZ;5;20
ARSENIO JIMENO;3;131
AVEMPACE;384;35
BENJAMIN JARNES;32;67
CABANAS;56;23
CEFOR IZQUIERDO;116;186
CINCO VILLAS;59;101
COLEGIO MONTESSORI;149;341
CONDES DE ARAGON;56;98
CORONA DE ARAGON;548;636
DE LA PUEBLA DE ALFINDEN;1;32
DE MOVERA;105;257
E.F.A. BOALARES;11;53
E.F.A. EL SALTO;2;37
E.F.A. LA NORIA;61;4
EL BUEN PASTOR;71;67
EMILIO JIMENO;33;150
ESCOLAPIAS SANTA ENGRACIA;195;46
FELIX DE AZARA;0;24
FUNDACION LABORAL DE LA CONSTRUCCION;4;62
GALLICUM;48;91
ITACA;125;258
JOAQUIN COSTA;22;21
JOSE MANUEL BLECUA;28;72
JUAN DE LANUZA;31;20
LA PURISIMA PARA NINOS SORDOS;12;13
LA SALLE-SANTO ANGEL;7;188
LEONARDO DE CHABACIER;88;47
LOS ENLACES;524;940
LUIS BUNUEL;467;67
MAR DE ARAGON;73;124
MARIA AUXILIADORA;80;58
MARIA MOLINER;268;74
MIGUEL CATALAN;440;140
MIGUEL DE MOLINOS;2;22
MIRALBUENO;260;483
NTRA. SRA. DEL CARMEN Y SAN JOSE;20;4
OBRA DIOCESANA SANTO DOMINGO DE SILOS;257;393
PABLO GARGALLO;11;8
PABLO SERRANO;113;389
PADRE ENRIQUE DE OSSO;19;7
PEDRO CERRADA;60;220
PEDRO DE LUNA;10;15
PILAR LORENGAR;90;99
PLUS ULTRA;55;26
REYES CATOLICOS;53;64
RIO ARBA;11;44
RIO GALLEGO;349;267
RODANAS;51;48
SALESIANO NTRA. SRA.DEL PILAR;30;595
SALESIANOS LAVIAGA-CASTILLO;4;163
SAN GABRIEL;4;30
SAN VALERO;60;480
SAN VICENTE DE PAUL;62;21
SANTA AGATOCLIA;7;19
SANTIAGO HERNANDEZ;459;222
SIERRA DE LA VIRGEN;6;21
SIGLO XXI;29;124
TIEMPOS MODERNOS;148;255
TUBALCAIN;65;193
VALLE DE TENA;154;32
VIRGEN DEL PILAR;38;611
ZAURIN;8;43
