centro;alMujer;alHombre
ACADEMIA MARCO;328;202
ALAUN;29;30
ANDALAN;64;99
ANGEL SANZ BRIZ;5;20
ARSENIO JIMENO;3;131
AVEMPACE;384;35
BAJO ARAGON;168;385
BAJO CINCA;76;49
BALTASAR GRACIAN;1;16
BENJAMIN JARNES;32;67
BIELLO ARAGON;42;76
CABANAS;56;23
CEFOR IZQUIERDO;116;186
CINCO VILLAS;59;101
COLEGIO MONTESSORI;149;341
CONDES DE ARAGON;56;98
CORONA DE ARAGON;548;636
DAMIAN FORMENT;37;10
DE LA PUEBLA DE ALFINDEN;1;32
DE MOVERA;105;257
DE SAN BLAS;35;174
E.F.A. BOALARES;11;53
E.F.A. EL SALTO;2;37
E.F.A. LA NORIA;61;4
EL BUEN PASTOR;71;67
EMILIO JIMENO;33;150
ESCOLAPIAS SANTA ENGRACIA;195;46
ESCUELA DE HOSTELERIA DE TERUEL;54;74
ESCUELAS PIAS;21;7
FELIX DE AZARA;0;24
FERNANDO LAZARO CARRETER;45;67
FRANCES DE ARANDA;21;147
FUNDACION LABORAL DE LA CONSTRUCCION;4;62
GALLICUM;48;91
GUDAR-JAVALAMBRE;1;9
HERMANOS ARGENSOLA;40;31
INSTITUTO DE FORMACION AGROAMBIENTAL;14;67
ITACA;125;258
JOAQUIN COSTA;22;21
JOSE MANUEL BLECUA;28;72
JOSE MOR DE FUENTES;33;122
JUAN DE LANUZA;31;20
LA LLITERA;17;29
LA PURISIMA PARA NINOS SORDOS;12;13
LA SALLE-SANTO ANGEL;7;188
LEONARDO DE CHABACIER;88;47
LOS ENLACES;524;940
LUIS BUNUEL;467;67
MAR DE ARAGON;73;124
MARIA AUXILIADORA;80;58
MARIA MOLINER;268;74
MARTINEZ VARGAS;176;177
MATARRANA;18;32
MIGUEL CATALAN;440;140
MIGUEL DE MOLINOS;2;22
MIRALBUENO;260;483
MONEGROS-GASPAR LAX;19;10
MONTEARAGON;196;258
NTRA. SRA. DE GUAYENTE;11;25
NTRA. SRA. DEL CARMEN Y SAN JOSE;20;4
OBRA DIOCESANA SANTO DOMINGO DE SILOS;257;393
PABLO GARGALLO;11;8
PABLO SERRANO;165;498
PADRE ENRIQUE DE OSSO;19;7
PEDRO CERRADA;60;220
PEDRO DE LUNA;10;15
PILAR LORENGAR;90;99
PIRAMIDE;83;327
PIRINEOS;45;46
PLUS ULTRA;55;26
RAMON J. SENDER;0;21
RAMON Y CAJAL;25;34
REYES CATOLICOS;53;64
RIO ARBA;11;44
RIO GALLEGO;349;267
RODANAS;51;48
SALESIANO NTRA. SRA.DEL PILAR;30;595
SALESIANOS LAVIAGA-CASTILLO;4;163
SALVADOR VICTORIA;2;36
SAN ALBERTO MAGNO;5;38
SAN GABRIEL;4;30
SAN JOSE DE CALASANZ;10;9
SAN LORENZO;75;102
SAN VALERO;60;480
SAN VICENTE DE PAUL;62;21
SANTA AGATOCLIA;7;19
SANTA EMERENCIANA;276;87
SANTIAGO HERNANDEZ;459;222
SANTO DOMINGO SAVIO;50;125
SEGUNDO DE CHOMON;41;339
SIERRA DE GUARA;311;261
SIERRA DE LA VIRGEN;6;21
SIERRA DE SAN QUILEZ;38;55
SIGLO XXI;29;124
SOBRARBE;8;19
TIEMPOS MODERNOS;148;255
TUBALCAIN;65;193
VALLE DE TENA;154;32
VALLE DEL GUADALOPE;1;9
VALLE DEL JILOCA;13;11
VEGA DEL TURIA;266;124
VIRGEN DEL PILAR;38;611
ZAURIN;8;43
