codmodalidad;alLAPURISIMAPARANINOSSORDOS;alSANTAEMERENCIANA;alMIGUELCATALAN;alJOSEMORDEFUENTES;alMARIAAUXILIADORA;alFERNANDOLAZAROCARRETER;alBENJAMINJARNES;alPABLOSERRANO;alLEONARDODECHABACIER;alCORONADEARAGON;alSANVICENTEDEPAUL;alCABANAS;alBAJOARAGON;alGALLICUM;alTUBALCAIN;alCONDESDEARAGON;alMARDEARAGON;alELBUENPASTOR;alITACA;alPEDROCERRADA;alSIGLOXXI;alRAMONYCAJAL;alBAJOCINCA;alRODANAS;alTIEMPOSMODERNOS;alRAMONJSENDER;alLASALLESANTOANGEL;alMIRALBUENO;alSANVALERO;alSEGUNDODECHOMON;alACADEMIAMARCO;alJOSEMANUELBLECUA;alSALESIANOSLAVIAGACASTILLO;alSALESIANONTRASRADELPILAR;alOBRADIOCESANASANTODOMINGODESILOS;alSANTAAGATOCLIA;alSANTODOMINGOSAVIO;alSIERRADESANQUILEZ;alMONTEARAGON;alSALVADORVICTORIA;alESCOLAPIASSANTAENGRACIA;alFELIXDEAZARA;alMIGUELDEMOLINOS;alVEGADELTURIA;alANGELSANZBRIZ;alCEFORIZQUIERDO;alPIRAMIDE;alSANLORENZO;alJUANDELANUZA;alNTRASRADEGUAYENTE
ADG201;0;29;19;0;29;4;9;37;0;26;11;9;31;9;26;25;11;28;28;23;11;0;20;12;40;0;0;0;24;0;16;0;0;0;31;0;15;0;0;0;0;0;0;0;0;27;0;0;0;0
ADG301;0;18;20;0;16;4;0;36;0;40;0;8;0;9;15;0;13;20;29;23;0;0;10;9;30;0;0;0;36;0;0;0;0;0;32;0;16;0;0;0;0;0;0;0;0;20;0;0;0;0
ADG302;0;0;0;0;0;0;0;0;0;19;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFD201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFD301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0
AFD302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
AGA201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0
AGA204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
AGA205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0
AGA302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0
AGA303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0
AGA304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0
