codmodalidad;alLAPURISIMAPARANINOSSORDOS;alSANTAEMERENCIANA;alMIGUELCATALAN;alJOSEMORDEFUENTES;alMARIAAUXILIADORA;alFERNANDOLAZAROCARRETER;alBENJAMINJARNES;alPABLOSERRANO;alLEONARDODECHABACIER;alCORONADEARAGON;alSANVICENTEDEPAUL;alCABANAS;alBAJOARAGON;alGALLICUM;alTUBALCAIN;alCONDESDEARAGON;alMARDEARAGON;alELBUENPASTOR;alITACA;alPEDROCERRADA;alSIGLOXXI;alRAMONYCAJAL;alBAJOCINCA;alRODANAS;alTIEMPOSMODERNOS;alRAMONJSENDER;alLASALLESANTOANGEL;alMIRALBUENO;alSANVALERO;alSEGUNDODECHOMON;alACADEMIAMARCO;alJOSEMANUELBLECUA;alSALESIANOSLAVIAGACASTILLO;alSALESIANONTRASRADELPILAR;alOBRADIOCESANASANTODOMINGODESILOS;alSANTAAGATOCLIA;alSANTODOMINGOSAVIO;alSIERRADESANQUILEZ;alMONTEARAGON;alSALVADORVICTORIA;alESCOLAPIASSANTAENGRACIA;alFELIXDEAZARA;alMIGUELDEMOLINOS;alVEGADELTURIA;alANGELSANZBRIZ;alCEFORIZQUIERDO;alPIRAMIDE;alSANLORENZO;alJUANDELANUZA;alNTRASRADEGUAYENTE
ADG201;0;119;0;0;0;22;0;33;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADG301;0;52;0;0;0;16;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADG302;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFD201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFD301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFD302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGA201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGA205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGA302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COM303;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
