codmodalidad;nal
ADG201;1867
ADG301;1460
SAN201;1065
IFC201;835
IFC302;688
SSC302;673
SSC201;639
ELE202;600
FPB101;543
TMV202;535
FPB102;443
IFC303;383
IFC301;378
IMA302;362
ELE203;347
SAN203;341
TMV301;324
SAN202;324
COM304;301
AFD301;300
ELE303;296
FPB106;273
AGA302;267
SSC303;266
IMA201;258
HOT201;252
COM201;246
FME202;244
FPB104;236
FPB105;235
COM303;234
SAN306;227
AGA205;225
SAN304;223
COM301;222
FME203;214
QUI301;213
IMP203;183
ADG302;180
AFD201;172
FPB109;169
TMV201;165
AGA201;162
ELE304;159
FME304;153
IMP202;153
FPB108;152
HOT305;143
COM302;143
ELE302;139
HOT301;139
FPB103;130
IMS302;116
ELE301;109
HOT203;101
AFD302;100
QUI201;88
SAN303;85
FME301;81
FPB121;78
TMV204;76
FPB107;76
IMS303;76
FPB116;72
AGA303;72
SEA201;68
HOT304;68
HOT302;66
SSC304;64
FPB125;64
IMA203;64
ARG203;61
SAN305;59
SAN309;59
IMA202;58
EOC301;57
INA301;57
TCP301;57
SAN301;57
ARG301;56
ENA302;54
QUI304;54
IMP303;54
AGA204;53
IMP301;52
IMP302;49
AGA304;49
SSC305;48
SSC301;48
SAN302;48
FPB110;47
ARG202;46
FPB126;46
INA201;46
FME302;45
IMS304;39
ELE305;39
MAM202;38
SAN308;38
IMA301;38
SEA302;38
QUI306;37
ENA301;37
MSP304;36
TMV302;33
FPB115;32
INA302;31
SAN310;31
MVA302;30
TCP202;30
SEA301;29
FPB124;27
FPB117;26
EOC302;25
FPB119;25
FPB111;25
FPB112;25
QUI204;24
MAM201;21
MAM301;18
FME305;14
EOC203;14
FME201;14
INA204;12
IEX201;12
EOC303;12
