codmodalidad;alZaragoza;alTeruel;alHuesca
ADG201;540;79;91
ADG301;466;34;77
ADG302;19;7;0
AFD201;73;25;19
AFD301;172;24;46
AFD302;40;22;19
AGA201;84;16;34
AGA204;27;0;15
AGA205;91;45;62
AGA302;82;54;89
AGA303;34;0;22
AGA304;0;0;19
ARG202;25;0;0
ARG203;34;0;0
ARG301;24;0;0
COM201;119;0;18
COM301;112;0;0
COM302;76;0;0
COM303;135;12;0
COM304;145;0;8
ELE202;381;78;121
ELE203;311;0;22
ELE301;106;0;0
ELE302;86;24;23
ELE303;177;52;52
ELE304;141;0;6
ELE305;28;0;0
ENA301;27;0;6
ENA302;0;15;38
EOC203;13;0;0
EOC301;26;0;10
EOC302;21;0;0
EOC303;7;0;0
FME201;14;0;0
FME202;201;0;34
FME203;179;0;30
FME301;79;0;0
FME302;40;0;0
FME304;147;0;0
FME305;13;0;0
FPB101;196;29;19
FPB102;358;52;26
FPB103;48;18;62
FPB104;144;24;35
FPB105;60;45;36
FPB106;152;49;61
FPB107;49;0;0
FPB108;15;7;1
FPB109;61;0;0
FPB110;30;16;0
FPB111;24;0;0
FPB112;5;0;0
FPB115;31;0;0
FPB116;22;22;19
FPB117;16;0;0
FPB119;10;4;0
FPB121;16;9;33
FPB124;25;0;0
FPB125;49;15;0
FPB126;41;0;0
HOT201;69;38;35
HOT203;21;12;23
HOT301;36;0;0
HOT302;19;0;5
HOT304;27;8;6
HOT305;31;20;42
IEX201;11;0;0
IFC201;537;97;118
IFC301;299;0;33
IFC302;470;79;58
IFC303;263;17;32
IMA201;190;20;40
IMA202;40;6;12
IMA203;33;12;18
IMA301;28;0;10
IMA302;327;20;10
IMP202;3;0;0
IMP203;19;0;4
IMP301;2;0;0
IMP303;5;0;0
IMS302;58;0;0
IMS303;34;0;8
IMS304;0;0;33
INA201;12;7;6
INA204;7;0;0
INA301;30;0;0
INA302;14;0;0
MAM201;12;7;0
MAM202;19;17;0
MAM301;13;0;0
MSP304;22;0;0
MVA302;14;14;0
QUI201;25;0;7
QUI204;0;0;19
QUI301;55;0;23
QUI304;45;0;0
QUI306;17;0;0
SAN201;86;36;18
SAN202;31;3;0
SAN203;96;85;0
SAN301;8;0;0
SAN302;15;0;0
SAN303;13;0;7
SAN304;14;4;0
SAN305;16;0;0
SAN306;40;5;0
SAN308;13;0;0
SAN309;11;0;0
SAN310;11;0;0
SEA201;26;31;0
SEA301;0;12;4
SEA302;0;35;0
SSC201;46;9;17
SSC301;15;0;0
SSC302;26;5;13
SSC303;39;6;0
SSC304;3;3;0
SSC305;6;0;0
TCP202;9;0;0
TCP301;6;0;0
TMV201;122;0;37
TMV202;361;95;67
TMV204;39;37;0
TMV301;191;78;46
TMV302;15;18;0
