codmodalidad;alZaragoza;alTeruel;alHuesca
ADG201;791;154;212
ADG301;702;61;120
ADG302;134;20;0
AFD201;32;15;8
AFD301;40;6;12
AFD302;10;4;5
AGA201;21;2;5
AGA204;10;0;1
AGA205;17;5;5
AGA302;23;7;12
AGA303;14;0;2
AGA304;0;0;30
ARG202;21;0;0
ARG203;27;0;0
ARG301;32;0;0
COM201;96;0;13
COM301;110;0;0
COM302;67;0;0
COM303;77;10;0
COM304;131;0;17
ELE202;20;0;0
ELE203;13;0;1
ELE301;3;0;0
ELE302;5;0;1
ELE303;12;0;3
ELE304;12;0;0
ELE305;11;0;0
ENA301;3;0;1
ENA302;0;0;1
EOC203;1;0;0
EOC301;18;0;3
EOC302;4;0;0
EOC303;5;0;0
FME202;9;0;0
FME203;5;0;0
FME301;2;0;0
FME302;5;0;0
FME304;6;0;0
FME305;1;0;0
FPB101;212;48;39
FPB102;5;1;1
FPB103;0;2;0
FPB104;23;0;10
FPB105;39;24;31
FPB106;6;0;5
FPB107;27;0;0
FPB108;110;9;10
FPB109;108;0;0
FPB110;0;1;0
FPB111;1;0;0
FPB112;20;0;0
FPB115;1;0;0
FPB116;5;2;2
FPB117;10;0;0
FPB119;5;6;0
FPB121;7;1;12
FPB124;2;0;0
FPB126;5;0;0
HOT201;60;27;23
HOT203;22;7;16
HOT301;103;0;0
HOT302;30;0;12
HOT304;8;13;6
HOT305;25;11;14
IEX201;1;0;0
IFC201;63;6;14
IFC301;41;0;5
IFC302;53;22;6
IFC303;65;0;6
IMA201;7;0;1
IMA203;1;0;0
IMA302;5;0;0
IMP202;150;0;0
IMP203;125;19;16
IMP301;50;0;0
IMP302;49;0;0
IMP303;37;0;12
IMS302;58;0;0
IMS303;29;0;5
IMS304;0;0;6
INA201;8;7;6
INA204;5;0;0
INA301;27;0;0
INA302;17;0;0
MAM201;2;0;0
MAM202;1;1;0
MAM301;5;0;0
MSP304;14;0;0
MVA302;1;1;0
QUI201;36;0;20
QUI204;0;0;5
QUI301;111;0;24
QUI304;9;0;0
QUI306;20;0;0
SAN201;632;164;129
SAN202;261;29;0
SAN203;84;76;0
SAN301;49;0;0
SAN302;33;0;0
SAN303;38;0;27
SAN304;106;46;53
SAN305;43;0;0
SAN306;146;36;0
SAN308;25;0;0
SAN309;48;0;0
SAN310;20;0;0
SEA201;4;7;0
SEA301;0;4;9
SEA302;0;3;0
SSC201;341;86;140
SSC301;33;0;0
SSC302;421;33;175
SSC303;191;30;0
SSC304;39;19;0
SSC305;42;0;0
TCP202;21;0;0
TCP301;51;0;0
TMV201;5;0;1
TMV202;8;1;3
TMV301;5;4;0
