codmodalidad;alMujer;alHombre
ADG201;212;91
ADG301;120;77
AFD201;8;19
AFD301;12;46
AFD302;5;19
AGA201;5;34
AGA204;1;15
AGA205;5;62
AGA302;12;89
AGA303;2;22
AGA304;30;19
COM201;13;18
COM304;17;8
ELE202;0;121
ELE203;1;22
ELE302;1;23
ELE303;3;52
ELE304;0;6
ENA301;1;6
ENA302;1;38
EOC301;3;10
FME202;0;34
FME203;0;30
FPB101;39;19
FPB102;1;26
FPB103;0;62
FPB104;10;35
FPB105;31;36
FPB106;5;61
FPB108;10;1
FPB116;2;19
FPB121;12;33
HOT201;23;35
HOT203;16;23
HOT302;12;5
HOT304;6;6
HOT305;14;42
IFC201;14;118
IFC301;5;33
IFC302;6;58
IFC303;6;32
IMA201;1;40
IMA202;0;12
IMA203;0;18
IMA301;0;10
IMA302;0;10
IMP203;16;4
IMP303;12;0
IMS303;5;8
IMS304;6;33
