codmodalidad;alMujer;alHombre
ADG201;154;79
ADG301;61;34
ADG302;20;7
AFD201;15;25
AFD301;6;24
AFD302;4;22
AGA201;2;16
AGA205;5;45
AGA302;7;54
COM303;10;12
ELE202;0;78
ELE302;0;24
ELE303;0;52
ENA302;0;15
FPB101;48;29
FPB102;1;52
FPB103;2;18
FPB104;0;24
FPB105;24;45
FPB106;0;49
FPB108;9;7
FPB110;1;16
FPB116;2;22
FPB119;6;4
FPB121;1;9
FPB125;0;15
HOT201;27;38
HOT203;7;12
HOT304;13;8
HOT305;11;20
IFC201;6;97
IFC302;22;79
IFC303;0;17
IMA201;0;20
IMA202;0;6
IMA203;0;12
IMA302;0;20
IMP203;19;0
INA201;7;7
MAM201;0;7
MAM202;1;17
MVA302;1;14
SAN201;164;36
SAN202;29;3
SAN203;76;85
SAN304;46;4
SAN306;36;5
SEA201;7;31
SEA301;4;12
SEA302;3;35
