codmodalidad;alMujer;alHombre
ADG201;791;540
ADG301;702;466
ADG302;134;19
AFD201;32;73
AFD301;40;172
AFD302;10;40
AGA201;21;84
AGA204;10;27
AGA205;17;91
AGA302;23;82
AGA303;14;34
ARG202;21;25
ARG203;27;34
ARG301;32;24
COM201;96;119
COM301;110;112
COM302;67;76
COM303;77;135
COM304;131;145
ELE202;20;381
ELE203;13;311
ELE301;3;106
ELE302;5;86
ELE303;12;177
ELE304;12;141
ELE305;11;28
ENA301;3;27
EOC203;1;13
EOC301;18;26
EOC302;4;21
EOC303;5;7
FME201;0;14
FME202;9;201
FME203;5;179
FME301;2;79
FME302;5;40
FME304;6;147
FME305;1;13
FPB101;212;196
FPB102;5;358
FPB103;0;48
FPB104;23;144
FPB105;39;60
FPB106;6;152
FPB107;27;49
FPB108;110;15
FPB109;108;61
FPB110;0;30
FPB111;1;24
FPB112;20;5
