codmodalidad;alMujer;alHombre
NODATA;0;0
ADG201;1157;710
ADG301;883;577
ADG302;154;26
AFD201;55;117
AFD301;58;242
AFD302;19;81
AGA201;28;134
AGA204;11;42
AGA205;27;198
AGA302;42;225
AGA303;16;56
AGA304;30;19
ARG202;21;25
ARG203;27;34
ARG301;32;24
COM201;109;137
COM301;110;112
COM302;67;76
COM303;87;147
COM304;148;153
ELE202;20;580
ELE203;14;333
ELE301;3;106
ELE302;6;133
ELE303;15;281
ELE304;12;147
ELE305;11;28
ENA301;4;33
ENA302;1;53
EOC203;1;13
EOC301;21;36
EOC302;4;21
EOC303;5;7
FME201;0;14
FME202;9;235
FME203;5;209
FME301;2;79
FME302;5;40
FME304;6;147
FME305;1;13
FPB101;299;244
FPB102;7;436
FPB103;2;128
FPB104;33;203
FPB105;94;141
FPB106;11;262
FPB107;27;49
FPB108;129;23
FPB109;108;61
