"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"@S`CRI@S","direccion_centro":"AVDA. DEL ROSARIO Y C/ DE LAS CIENCIAS"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ABABOL","direccion_centro":"CL. ALBALATE, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ALBERTO GALINDO","direccion_centro":"Avda. Huesca, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ALCORAZ","direccion_centro":"Cl. Binéfar, 5"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ALTO ARAGÓN","direccion_centro":"Avda. Del Cinca, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ANDARINES","direccion_centro":"CL. Castillones, nº 6 - 8"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ARAGÓN","direccion_centro":"Cl. Calvario, 13"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ARBOLEDA","direccion_centro":"AVDA. JOSÉ MARÍA PELEATO, 18"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ARÉN","direccion_centro":"Cl. San Martín, 5"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ASUNCIÓN PAÑART MONTANER","direccion_centro":"Cl. Cortes De Aragón, 1-3"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"ATALIA","direccion_centro":"CL. JOAQUÍN COSTA, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"CARDELINA","direccion_centro":"Cl. Panticosa, 26"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"CERBÍN","direccion_centro":"Pza. Cabovila, 5"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"CHAVALINES","direccion_centro":"CL. COSO ALTO, 47"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"CLARA CAMPOAMOR","direccion_centro":"CL. HUERVA, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"COLLARADA","direccion_centro":"Cami. La Fuente, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"CONCEPCIÓN BAÑERES","direccion_centro":"CL. MADRID, 7"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE ALCAMPELL","direccion_centro":"CL. LA LITERA, 15"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE ALCUBIERRE","direccion_centro":"CL. Herrería, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE BALLOBAR","direccion_centro":"CL. BARRIO NUEVO, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE BARBASTRO","direccion_centro":"CL. OBISPO AMBROSIO ECHEBARRÍA"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE BELVER DE CINCA","direccion_centro":"CL. TRAVESÍA DEL PILAR S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE BIESCAS","direccion_centro":"AVDA. ZARAGOZA. 21"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE BROTO","direccion_centro":"CL. Morillo S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE CANAL DE BERDÚN","direccion_centro":"PZA. DEL CASTILLO, 1-BAJO"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE ESTADILLA","direccion_centro":"C/ La Balsa, s/n"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE FONZ","direccion_centro":"CL. ZARAGOZA, 8"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE FRULA","direccion_centro":"RONDA SUR, 6"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE GRAÑÉN","direccion_centro":"CL. JUAN XXIII, 6"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE GURREA DE GÁLLEGO","direccion_centro":"CL. CERVANTES Nº 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE JACA","direccion_centro":"CL. BORNAO, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE LA COMARCA DE SOBRARBE","direccion_centro":"Pº. DE LOS NAVATEROS, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE LALUEZA","direccion_centro":"P.º COMENGE, 42"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE LANAJA","direccion_centro":"CL. José Borruel, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE NUENO","direccion_centro":"URB. PARQUE DE GUARA"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE PAÚLES DE SARSA","direccion_centro":"CL. ESCUELAS, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE PEÑALBA","direccion_centro":"CL. LAS AFUERAS, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE PERALTA DE ALCOFEA","direccion_centro":"CL. BALMES, 16"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE PUENTE LA REINA DE JACA","direccion_centro":"CL. MOLINO, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE ROBRES","direccion_centro":"CL. SAN BLAS, 9"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE SALLENT DE GÁLLEGO","direccion_centro":"Paseo Gigante Aragonés, 34 bis"-n-"provincia":"Huesca"
