"grado":"FPBasica"-n-"nombrecentro":"ALAON","mailcentro":"centroalaun@alaun.es"
"grado":"FPBasica"-n-"nombrecentro":"ANDALAN","mailcentro":"iesandzaragoza@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"ANGEL SANZ BRIZ","mailcentro":"iesasbcasetas@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"ARSENIO JIMENO","mailcentro":"info@centroformacion.ugt.org"
"grado":"FPBasica"-n-"nombrecentro":"BAJO ARAGON","mailcentro":"cpifpbajoaragon@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"BAJO ARAGON","mailcentro":"iesalcaniz@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"BAJO CINCA","mailcentro":"iesbcfraga@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"BALTASAR GRACIAN","mailcentro":"iesgraus@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"BENJAMIN JARNES","mailcentro":"iesfuentes@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"BIELLO ARAGON","mailcentro":"iesbasabinanigo@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"CABAÑAS","mailcentro":"iesalmunia@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"CEFOR IZQUIERDO","mailcentro":"ciclos@izquierdofp.es"
"grado":"FPBasica"-n-"nombrecentro":"CINCO VILLAS","mailcentro":"iescvejea@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"CONDES DE ARAGON","mailcentro":"condesfp@condesfp.jazztel.es"
"grado":"FPBasica"-n-"nombrecentro":"CORONA DE ARAGON","mailcentro":"iescorzaragoza@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"DAMIAN FORMENT","mailcentro":"iesalcorisate@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"DE MOVERA","mailcentro":"cpifpmovera@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"DE SAN BLAS","mailcentro":"ifpeteruel@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"E.F.A. BOALARES","mailcentro":"boalares@efasdearagon.es"
"grado":"FPBasica"-n-"nombrecentro":"E.F.A. EL SALTO","mailcentro":"elsalto@efasdearagon.org"
"grado":"FPBasica"-n-"nombrecentro":"E.F.A. LA NORIA","mailcentro":"lanoria@efasdearagon.org"
"grado":"FPBasica"-n-"nombrecentro":"EL BUEN PASTOR","mailcentro":"secretaria@elbuenpastorzaragoza.net"
"grado":"FPBasica"-n-"nombrecentro":"EMILIO JIMENO","mailcentro":"iesejcalatayud@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"ESCUELA DE HOSTELERIA DE TERUEL","mailcentro":"esuhosteruel@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"ESCUELAS PIAS DE SANTA ENGRACIA","mailcentro":"miraflores@fe-escolapias.org"
"grado":"FPBasica"-n-"nombrecentro":"FELIX DE AZARA","mailcentro":"iesfazzaragoza@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"FERNANDO LAZARO CARRETER","mailcentro":"iesutrillas@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"FRANCES DE ARANDA","mailcentro":"iesfrateruel@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"FUNDACION LABORAL DE LA CONSTRUCCION","mailcentro":"jandres@fundacionlaboral.org"
"grado":"FPBasica"-n-"nombrecentro":"GALLICUM","mailcentro":"ieszuera@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"HERMANOS ARGENSOLA","mailcentro":"ieshabarbastro@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"ITACA","mailcentro":"iesitazaragoza@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"JOSE MANUEL BLECUA","mailcentro":"iesjmbzaragoza@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"JOSE MOR DE FUENTES","mailcentro":"iesmonzon@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"JUAN DE LANUZA","mailcentro":"iesborja@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"LA LLITERA","mailcentro":"iestamarite@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"LA PURISIMA PARA NIÑOS SORDOS","mailcentro":"lpurisimansz@planalfa.es"
"grado":"FPBasica"-n-"nombrecentro":"LA SALLE-SANTO ANGEL","mailcentro":"admisaz@lasalle.es"
"grado":"FPBasica"-n-"nombrecentro":"LEONARDO DE CHABACIER","mailcentro":"ieslchcalatayud@educa.aragon.es"
"grado":"FPBasica"-n-"nombrecentro":"LOBETANO","mailcentro":"iesalbarracin@educa.aragon.es"
