"grado":"FPBasica"-n-"nombrecentro":"ALAON","mailcentro":"centroalaun@alaun.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"ANDALAN","mailcentro":"iesandzaragoza@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"ANGEL SANZ BRIZ","mailcentro":"iesasbcasetas@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"ARSENIO JIMENO","mailcentro":"info@centroformacion.ugt.org"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"BAJO ARAGON","mailcentro":"cpifpbajoaragon@educa.aragon.es"-n-"provincia":"Teruel"
"grado":"FPBasica"-n-"nombrecentro":"BAJO ARAGON","mailcentro":"iesalcaniz@educa.aragon.es"-n-"provincia":"Teruel"
"grado":"FPBasica"-n-"nombrecentro":"BAJO CINCA","mailcentro":"iesbcfraga@educa.aragon.es"-n-"provincia":"Huesca"
"grado":"FPBasica"-n-"nombrecentro":"BALTASAR GRACIAN","mailcentro":"iesgraus@educa.aragon.es"-n-"provincia":"Huesca"
"grado":"FPBasica"-n-"nombrecentro":"BENJAMIN JARNES","mailcentro":"iesfuentes@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"BIELLO ARAGON","mailcentro":"iesbasabinanigo@educa.aragon.es"-n-"provincia":"Huesca"
"grado":"FPBasica"-n-"nombrecentro":"CABAÑAS","mailcentro":"iesalmunia@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"CEFOR IZQUIERDO","mailcentro":"ciclos@izquierdofp.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"CINCO VILLAS","mailcentro":"iescvejea@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"CONDES DE ARAGON","mailcentro":"condesfp@condesfp.jazztel.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"CORONA DE ARAGON","mailcentro":"iescorzaragoza@educa.aragon.es"-n-"provincia":"Zaragoza"
"grado":"FPBasica"-n-"nombrecentro":"DAMIAN FORMENT","mailcentro":"iesalcorisate@educa.aragon.es"-n-"provincia":"Teruel"
"grado":"FPBasica"-n-"nombrecentro":"DE MOVERA","mailcentro":"cpifpmovera@educa.aragon.es"-n-"provincia":"Zaragoza"
