Enseñanza;Cód. Modalidad;Modalidad;Curso;Turno;Cód. RCD Centro;Nº Matriculados;Localidad;Sexo;Provincia
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44003211;1;Teruel;H;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011525;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50009129;1;Ejea de los Caballeros;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010946;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011732;1;Caspe;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22002521;1;Huesca;H;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50005793;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007856;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010168;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44010537;1;Alcañiz;H;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22005391;1;Tamarite de Litera;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50008654;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007856;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010511;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010028;1;Alagón;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50008654;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010168;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50008654;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22004888;1;Fraga;H;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50008654;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010168;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22005391;1;Tamarite de Litera;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22005030;1;Sariñena;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22002703;1;Jaca;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22002521;1;Huesca;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;M;Zaragoza
