CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;Cód. Postal;Provincia;Municipio;Nº Alumnos
2019/2020;privado;Actuación de Programas de Garantía Social;22600023;Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );Plaza Catedral, 1;22090;Huesca;Huesca;28
2019/2020;privado;Actuación de Programas de Garantía Social;22600035;AYUNTAMIENTO DE JACA;C/ Mayor, 24;22700;Huesca;Jaca;10
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);C/ Eduardo Ibarra, 7- 1º. Edificio EL CUBO;50009;Zaragoza;Zaragoza;198
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;50004;Zaragoza;Zaragoza;59
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;50003;Zaragoza;Zaragoza;34
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;C/ Jose Luis Pomarón, 10;50008;Zaragoza;Zaragoza;37
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;C/ GUILLÉN DE CASTRO, 2-4;50018;Zaragoza;Zaragoza;46
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;C/ BARRIO VERDE, 8;50002;Zaragoza;Zaragoza;10
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;50015;Zaragoza;Zaragoza;33
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;DR. ARTERO, 2;22004;Huesca;Huesca;33
2019/2020;público;Centro Privado de Educación Infantil;44600080;GUARDERIA INFANTIL DE MORA DE RUBIELOS;C/ VALLADO, 17;44400;Teruel;Mora de Rubielos;9
2019/2020;público;Escuela de Educación Infantil;22010955;ESCUELA DE EDUCACIÓN INFANTIL DE BOLTAÑA;C/ SAMPER, 1-3;22340;Huesca;Boltaña;17
2019/2020;público;Escuela de Educación Infantil;50019664;ESCUELA INFANTIL ALMADA;CAMINO DE LA ESTACIÓN, S/N;50490;Zaragoza;Villarreal de Huerva;11
2019/2020;Centro público;Escuela de Educación Infantil;22010013;DE SALLENT DE GÁLLEGO;Paseo "Gigante Aragonés", 34 bis;22640;Huesca;Sallent de Gállego;15
2019/2020;Centro público;Escuela de Educación Infantil;22010062;LO NIU;Cl. Lorenzo Barea, 4;22558;Huesca;Albelda;18
2019/2020;Centro público;Escuela de Educación Infantil;22010104;LA COMETA;Pza. Escuelas, 9;22535;Huesca;Esplús;11
2019/2020;Centro público;Escuela de Educación Infantil;22010116;EL PÍ;CL. MIGUEL FLETA, 3;22540;Huesca;Altorricón;21
2019/2020;Centro público;Escuela de Educación Infantil;22010128;CARDELINA;Cl. Panticosa, 26;22600;Huesca;Sabiñánigo;96
2019/2020;Centro público;Escuela de Educación Infantil;22010177;LA MAINADA;CL. Constitución, 2;22466;Huesca;Castejón de Sos;8
2019/2020;Centro público;Escuela de Educación Infantil;22010190;EL TAMARINDO;CL. SAN MIGUEL, 11;22550;Huesca;Tamarite de Litera;35
2019/2020;Centro público;Escuela de Educación Infantil;22010207;DE JACA;CL. BORNAO, S/N;22700;Huesca;Jaca;99
2019/2020;Centro público;Escuela de Educación Infantil;22010232;CONCEPCIÓN BAÑERES;CL. MADRID, 7;22500;Huesca;Binéfar;105
2019/2020;Centro público;Escuela de Educación Infantil;22010244;LA CANTERA;CL. LA ALEGRÍA, 6;22192;Huesca;Tierz;36
2019/2020;Centro público;Escuela de Educación Infantil;22010268;DE BIESCAS;AVDA. ZARAGOZA. 21;22630;Huesca;Biescas;16
2019/2020;Centro público;Escuela de Educación Infantil;22010271;LUPITA;CL. Mediodia s/n;22549;Huesca;Vencillón;4
2019/2020;Centro público;Escuela de Educación Infantil;22010281;NININS;CL. GAITEROS DE CASERRAS, 2;22430;Huesca;Graus;64
2019/2020;Centro público;Escuela de Educación Infantil;22010293;LA FONTANETA;CL. PROGRESO, 4;22800;Huesca;Ayerbe;11
2019/2020;Centro público;Escuela de Educación Infantil;22010301;ABABOL;CL. ALBALATE, 2;22510;Huesca;Binaced;24
2019/2020;Centro público;Escuela de Educación Infantil;22010311;LA MAINADA;AVDA. LUCHÓN, S/N;22440;Huesca;Benasque;39
2019/2020;Centro público;Escuela de Educación Infantil;22010335;TRIAMOLETA;CL. CAMPOS DE LA IGLESIA, S/N;22661;Huesca;Panticosa;18
2019/2020;Centro público;Escuela de Educación Infantil;22010359;LA CANALLA;NUEVO VIAL DE LA U.A. 3;22580;Huesca;Benabarre;18
2019/2020;Centro público;Escuela de Educación Infantil;22010360;@S`CRI@S;AVDA. DEL ROSARIO Y C/ DE LAS CIENCIAS;22270;Huesca;Almudévar;35
