Enseñanza (estatal);Enseñanza (agrupada);Nº Alumnos;Nº CE;;;
Educación Infantil Primer Ciclo;EI;59.850;5;;;
Educación Infantil Segundo Ciclo;EI;179.743;5;;;
E. Primaria;EP;389.292;5;;;
E.S.O.;ESO;286.884;5;;;
Bachillerato;BACH;80.016;5;;;
Bachillerato Adultos/Nocturno;BACH;2.752;5;;;
Bachillerato a Distancia;BACH;3.953;5;;;
Ciclos Formativos F.P. de Grado Medio;CFGM;5.157;5;;;
Ciclos Formativos F.P. de Grado Medio Adultos/Nocturno;CFGM;542;5;;;
Ciclos formativos/Módulos Profesionales Experimentales Nivel II/Grado Medio a distancia;CFGM;20;2;;;
Ciclos Formativos Grado Medio - LOE;[Sin especificar];7.409;5;;;
;CFGM;28.856;5;;;
Ciclos Formativos Grado Medio adultos/nocturno - LOE;[Sin especificar];51;3;;;
;CFGM;1.526;5;;;
Ciclos Formativos Grado Medio a distancia - LOE;[Sin especificar];2.187;5;;;
;CFGM;2.048;5;;;
Ciclos Formativos F.P. de Grado Superior;CFGS;4.758;5;;;
Ciclos Formativos F.P. de Grado Superior Adultos/Nocturno;CFGS;20;2;;;
Ciclos formativos/Módulos Profesionales Experimentales Nivel III/Grado Superior a distancia;CFGS;259;5;;;
Ciclos Formativos Grado Superior - LOE;[Sin especificar];20.223;5;;;
;CFGS;18.754;5;;;
Ciclos Formativos Grado Superior adultos/nocturno - LOE;CFGS;49;3;;;
Ciclos Formativos Grado Superior a distancia - LOE;[Sin especificar];4.957;5;;;
;CFGS;3.332;5;;;
Ciclos Formativos F.P. Básica;[Sin especificar];11.548;5;;;FPB
Educación Especial;ESP;4.744;5;;;
Programas de Cualificación Profesional Inicial - Aulas Profesionales;PCPI;3;1;;;
Otros Programas Formativos de FP;[Sin especificar];1.879;5;;;OPF
Otros Programas Formativos de FP - EE;[Sin especificar];883;5;;;OPF
Ciclos F. Artes Plásticas y Diseño-Grado Medio;[Sin especificar];303;5;;;ARTÍSTICAS
Ciclos F. Artes Plásticas y Diseño-Grado Superior;[Sin especificar];1.860;5;;;ARTÍSTICAS
Enseñanzas Superiores de Conservación y Restauración (LOE);[Sin especificar];196;5;;;ARTÍSTICAS
Estudios Superiores de Diseño;[Sin especificar];14;2;;;ARTÍSTICAS
Enseñanzas Superiores de Diseño (LOE);[Sin especificar];1.559;5;;;ARTÍSTICAS
Enseñanzas Elementales de Música;[Sin especificar];8.530;5;;;ARTÍSTICAS
EE. Profesionales de la Música;[Sin especificar];6.429;5;;;ARTÍSTICAS
Enseñanzas Superiores de la Música (LOE);[Sin especificar];1.448;5;;;ARTÍSTICAS
Enseñanzas Elementales de Danza;[Sin especificar];647;5;;;ARTÍSTICAS
EE. Profesionales de la Danza;[Sin especificar];217;5;;;ARTÍSTICAS
Idiomas-Nivel Básico;[Sin especificar];18.280;4;;;IDIOMAS
Enseñanza de Idiomas a Distancia - Nivel Básico;[Sin especificar];2.894;4;;;IDIOMAS
Idiomas-Nivel Intermedio;[Sin especificar];18.592;4;;;IDIOMAS
Enseñanza de Idiomas a Distancia - Nivel Intermedio;[Sin especificar];4.618;4;;;IDIOMAS
Idiomas-Nivel Avanzado;[Sin especificar];11.820;4;;;IDIOMAS
Enseñanza de Idiomas a Distancia - Nivel Avanzado;[Sin especificar];1.696;3;;;IDIOMAS
E.O.I. Nivel C1;[Sin especificar];2.937;4;;;IDIOMAS
EOI Nivel Básico A1;[Sin especificar];2.480;1;;;IDIOMAS
EOI Nivel Básico A1 a distancia;[Sin especificar];312;1;;;IDIOMAS
EOI Nivel Básico A2;[Sin especificar];1.810;1;;;IDIOMAS
EOI Nivel Básico A2 a distancia;[Sin especificar];237;1;;;IDIOMAS
EOI Nivel Intermedio B1;[Sin especificar];2.558;1;;;IDIOMAS
EOI Nivel Intermedio B1 a distancia;[Sin especificar];566;1;;;IDIOMAS
EOI Nivel Intermedio B2;[Sin especificar];2.712;1;;;IDIOMAS
EOI Nivel Intermedio B2 a distancia;[Sin especificar];742;1;;;IDIOMAS
EOI Nivel Avanzado C1;[Sin especificar];1.656;1;;;IDIOMAS
EOI Nivel Avanzado C2;[Sin especificar];13;1;;;IDIOMAS
Enseñanzas Deportivas Grado Medio;[Sin especificar];2.683;5;;;DEPORTIVAS
Enseñanzas Deportivas Grado Superior;[Sin especificar];343;5;;;DEPORTIVAS
Enseñanza Básica para Adultos;[Sin especificar];14.701;5;;;ADULTOS
Lengua castellana para inmigrantes;[Sin especificar];15.476;5;;;ADULTOS
