ACOD_CENTRO;SUM(NDATO)
22000056;7
22000071;55
22000251;13
22000299;23
22000585;20
22000706;5
22000721;128
22000731;78
22000767;5
22000779;41
22000809;85
22001073;165
22001085;16
22001191;1
22001243;16
22001358;6
22001437;3
22001656;3
22001875;163
22001887;126
22001899;91
22001905;10
22001917;96
22002016;4
22002119;40
22002156;65
22002168;48
22002302;72
22002338;107
22002341;119
22002351;89
22002405;4
22002417;37
22002430;30
22002466;57
22002478;54
22002491;25
22002508;79
22002511;60
22002521;158
22002569;38
22002673;54
22002703;32
22002727;34
22002740;1
22002843;21
22003100;5
22003215;89
22003239;65
22003252;79
22003276;109
22003288;140
22003343;1
22003586;5
22003835;61
22003847;13
22003860;68
22003902;39
22004104;104
22004189;9
22004271;54
22004566;15
22004578;4
22004608;54
22004611;80
22004633;110
22004773;46
22004839;18
22004840;137
22004888;81
22004891;41
22004906;78
22004943;7
22004955;634
22005030;45
22005054;3
22005121;46
22005133;2
22005145;15
22005157;22
22005200;38
22005212;76
22005224;8
22005376;5
22005388;101
22005391;48
22005406;35
22005431;2
22005443;7
22005479;140
22005480;319
22005492;80
22005509;117
22005558;63
22005561;114
22005583;116
22005595;13
22005662;6
22005674;11
22005686;13
22005698;11
22005704;12
22005716;16
22005728;16
22005731;32
22005741;19
22005765;34
22005789;8
22005807;41
22005819;26
22005820;16
22005832;53
22005844;26
22005856;10
22005868;6
22005881;25
22005911;8
22005960;165
22006034;378
22006083;8
22006095;5
22006101;21
22006113;21
22006125;4
22010001;6
22010025;5
22010037;6
22010049;3
22010050;1
22010074;17
22010086;1
22010116;6
22010128;6
22010131;4
22010165;2
22010190;5
22010232;6
22010244;1
22010281;16
22010301;2
22010323;75
22010347;3
22010384;2
22010402;4
22010426;4
22010499;1
22010578;3
22010608;2
22010657;1
22010669;3
22010670;8
22010700;1
22010712;27
22010724;6
22010761;3
22010797;2
22010839;47
22010852;8
22010864;4
22010876;109
22010888;12
22010906;1
22010918;4
22010931;1
22010955;3
22010967;4
22010979;2
22010980;3
22010992;2
22011005;1
22600023;15
22600060;3
22600072;7
22600084;1
44000121;29
44000246;144
44000261;42
44000271;28
44000325;60
44000465;78
44000799;147
44000829;93
44001159;22
44001378;26
44001706;66
44002061;22
44002152;92
44002191;18
44002221;27
44002541;28
44002942;61
44003028;8
44003041;3
44003077;30
44003090;54
44003107;38
44003120;34
44003156;36
44003171;88
44003211;83
44003223;105
44003235;114
44003247;44
44003259;9
44003272;108
44003284;13
44003636;45
44003715;67
44004045;61
44004124;222
44004148;22
44004173;5
44004239;32
44004306;33
44004318;34
44004331;8
44004446;11
44004471;5
44004483;30
44004495;12
44004550;42
44004562;11
44004574;156
44004598;73
44004616;11
44004628;44
44004653;67
44004665;46
44004677;22
44004689;43
44004690;27
44004707;46
44004719;26
44004720;13
44004732;19
44004744;10
44004756;26
44004768;10
44004771;46
44004781;14
44004793;12
44004801;26
44004811;13
44004847;114
44004884;99
44004926;49
44004938;92
44004951;97
44005001;91
44005062;22
44005074;30
44005098;27
44005104;42
44005116;27
44005128;20
44005131;9
44005153;4
44005165;8
44005177;103
44005190;10
44005207;3
44005220;132
44010011;32
44010021;4
44010033;2
44010045;1
44010069;2
44010094;2
44010100;70
44010124;1
44010136;3
44010151;16
44010161;5
44010197;5
44010203;55
44010215;6
44010276;4
44010306;1
44010343;4
44010495;11
44010537;74
44010549;1
44010574;2
44010628;2
44010631;1
44010665;1
44010719;2
44010732;2
44010744;25
44010768;1
44010793;2
44010801;1
44600021;6
50000126;83
50000151;11
50000163;59
50000291;6
50000369;22
50000370;146
50000412;53
50000436;10
50000618;23
50000722;23
50000850;63
50000862;29
50000874;50
50000904;11
50001064;24
50001076;83
50001088;58
50001121;67
50001167;85
