CENTRO;LOCALIDAD;PROVINCIA;
CRA Vero-Alcanadre;Adahuesca;Huesca;
CEIP Valle del Guarga;Aineto                ;Huesca;
CEIP José Manuel Blecua;Alcolea de Cinca;Huesca;
CEIP Arén;Arén;Huesca;
CEIP Francisco Galiay Sarañana;Ballobar;Huesca;
CEIP La Merced;Barbastro;Huesca;
CEIP Alto Aragón;Barbastro          ;Huesca;
CRA Alta Ribagorza;Benasque  ;Huesca;
CRA El Trebol;Binaced;Huesca;
CEIP Víctor Mendoza;Binéfar;Huesca;
CEIP Virgen de la Soledad;Bolea;Huesca;
CEIP Virgen de los Ríos;Caldearenas;Huesca;
CEIP Los  Arañones ;Canfranc;Huesca;
CRA Baja Ribagorza;Capella    ;Huesca;
CEIP Ramón J. Sender;Chalamera;Huesca;
CRA Montearagón;Chimillas;Huesca;
CRA Arco Iris;Conchel     ;Huesca;
CRA Estadilla- Fonz;Estadilla;Huesca;
CEIP María Moliner;Fraga;Huesca;
CEIP Miguel Servet;Fraga;Huesca;
CEIP San José de Calasanz;Fraga       ;Huesca;
Colegio Santa Ana;Fraga         ;Huesca;
CEIP El Parque;Huesca;Huesca;
CEIP Pío XII;Huesca;Huesca;
CEIP Pirineos-Pyrénées;Huesca;Huesca;
CEIP San Vicente;Huesca    ;Huesca;
CEIP Alcoraz;Huesca       ;Huesca;
CEIP Pedro J. Rubio;Huesca              ;Huesca;
CEIP Monte Oroel;Jaca;Huesca;
CEIP San Juan de la Peña;Jaca;Huesca;
Colegio Escuelas Pías;Jaca        ;Huesca;
CRA Monegros-Hoya;Lalueza          ;Huesca;
CRA Monegros Norte;Lanaja        ;Huesca;
CEIP Aragón;Monzón;Huesca;
CEIP Joaquín Costa;Monzón;Huesca;
Colegio Minte;Monzón;Huesca;
Colegio Santa Ana;Monzón;Huesca;
CEIP San Gregorio;Ontiñena;Huesca;
CEIP Paules de Sarsa;Paules      ;Huesca;
CRA Montesnegros;Peñalba;Huesca;
CRA Redolada;Peralta de Alcofea;Huesca;
CRA La Sabina;Robres;Huesca;
CEIP Montecorona;Sabiñánigo;Huesca;
CEIP Puente Sardas;Sabiñánigo;Huesca;
Colegio Santa Ana;Sabiñánigo;Huesca;
CRA Río Aragón;Santa Cilia;Huesca;
CEIP La Laguna;Sariñena          ;Huesca;
CEIP Alberto Galindo;Sena         ;Huesca;
CEIP Miguel Servet;Senegüe;Huesca;
CEIP San Miguel;Tamarite de Litera;Huesca;
CRA Ribera del Cinca;Torrente Cinca   ;Huesca;
CEIP Collarada;Villanúa;Huesca;
CEIP Miguel Servet;Villanueva de Sigena   ;Huesca;
CEIP San Juan Bautista;Zaidín;Huesca;
CEIP Román García;Albalate del Arzobispo;Teruel;
CRA Albarracín;Albarracín;Teruel;
CEIP Emilio Díaz;Alcañiz;Teruel;
CEIP Juan Lorenzo Palmireno;Alcañiz;Teruel;
CEIP Juan Sobrarías;Alcañiz;Teruel;
Colegio La Inmaculada;Alcañiz;Teruel;
Colegio San Valero Escuelas Pías;Alcañiz;Teruel;
CEIP El Justicia de Aragón;Alcorisa;Teruel;
CRA Pablo Antonio Crespo;Aliaga;Teruel;
CEE Gloria Fuertes;Andorra;Teruel;
CEIP Juan Ramón Alegre;Andorra;Teruel;
CEIP Manuel Franco Royo;Andorra;Teruel;
CRA Ariño-Alloza;Ariño         ;Teruel;
CRA Campo Bello;Bello;Teruel;
CRA Matarranya ;Calaceite           ;Teruel;
CEIP Ricardo Mallén;Calamocha;Teruel;
CEIP Virgen del Pilar;Calanda             ;Teruel;
CRA Goya;Caminreal;Teruel;
CRA Olea;Castellote    ;Teruel;
CRA Del Mezquín;Castelserás;Teruel;
CRA Palmira Plá;Cedrillas;Teruel;
CEIP Astrónomo Zarzoso;Cella;Teruel;
CRA Algars;Cretas;Teruel;
CEIP Antonio Gargallo;Escucha;Teruel;
CEIP Luis Turón;Hijar;Teruel;
CRA Alifara;La Fresneda;Teruel;
CRA Somontano-Bajo Aragón;La Mata los Olmos;Teruel;
CRA Javalambre;Manzanera;Teruel;
CRA Martín del Río;Martín del Río;Teruel;
CEIP Valero Serrano;Mas de las Matas;Teruel;
CEIP Nuestra Señora del Pilar;Monreal del Campo;Teruel;
CEIP San Miguel;Mora de Rubielos;Teruel;
CRA Maestrazgo-Gudar;Mosqueruela;Teruel;
CRA Muniesa;Muniesa    ;Teruel;
CRA Bronchales-Orihuela;Orihuela del Tremedal;Teruel;
CRA Tastavins;Peñarroya de Tastavins;Teruel;
CRA Teruel uno;Perales del Alfambra       ;Teruel;
CRA El Poyo del Cid;Poyo del Cid     ;Teruel;
CRA Bajo Martín;Puebla de Hijar  ;Teruel;
CRA Regallo;Puigmoreno       ;Teruel;
CRA Pórtico de Aragón;Rubielos de Mora;Teruel;
CRA Turia;San Blas;Teruel;
CRA Cuna del Jiloca;Santa Eulalia del Campo;Teruel;
CEIP Sarrión;Sarrión;Teruel;
CEE La Arboleda;Teruel;Teruel;
CEIP Ensanche;Teruel;Teruel;
CEIP La Fuenfresca;Teruel;Teruel;
CEIP Las Anejas;Teruel;Teruel;
CEIP Miguel Vallés;Teruel;Teruel;
CEIP Pierres Vedel;Teruel;Teruel;
Colegio Diocesano Las Viñas;Teruel;Teruel;
