Comunidades;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
ARAGÓN;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.319.291
ARAGÓN;TOTAL EDADES;Españoles;Ambos sexos;2019;1.169.992
ARAGÓN;TOTAL EDADES;Extranjeros;Ambos sexos;2019;149.299
ARAGÓN;0 años;TOTAL;Ambos sexos;2019;9.744
ARAGÓN;0 años;Españoles;Ambos sexos;2019;7.996
ARAGÓN;0 años;Extranjeros;Ambos sexos;2019;1.748
ARAGÓN;1 año;TOTAL;Ambos sexos;2019;10.896
ARAGÓN;1 año;Españoles;Ambos sexos;2019;8.976
ARAGÓN;1 año;Extranjeros;Ambos sexos;2019;1.920
ARAGÓN;2 años;TOTAL;Ambos sexos;2019;11.216
ARAGÓN;2 años;Españoles;Ambos sexos;2019;9.363
ARAGÓN;2 años;Extranjeros;Ambos sexos;2019;1.853
ARAGÓN;3 años;TOTAL;Ambos sexos;2019;11.795
ARAGÓN;3 años;Españoles;Ambos sexos;2019;9.934
ARAGÓN;3 años;Extranjeros;Ambos sexos;2019;1.861
ARAGÓN;4 años;TOTAL;Ambos sexos;2019;12.084
ARAGÓN;4 años;Españoles;Ambos sexos;2019;10.143
ARAGÓN;4 años;Extranjeros;Ambos sexos;2019;1.941
ARAGÓN;5 años;TOTAL;Ambos sexos;2019;12.028
ARAGÓN;5 años;Españoles;Ambos sexos;2019;10.276
ARAGÓN;5 años;Extranjeros;Ambos sexos;2019;1.752
ARAGÓN;6 años;TOTAL;Ambos sexos;2019;12.312
ARAGÓN;6 años;Españoles;Ambos sexos;2019;10.664
ARAGÓN;6 años;Extranjeros;Ambos sexos;2019;1.648
ARAGÓN;7 años;TOTAL;Ambos sexos;2019;12.769
ARAGÓN;7 años;Españoles;Ambos sexos;2019;11.205
ARAGÓN;7 años;Extranjeros;Ambos sexos;2019;1.564
ARAGÓN;8 años;TOTAL;Ambos sexos;2019;13.017
ARAGÓN;8 años;Españoles;Ambos sexos;2019;11.466
ARAGÓN;8 años;Extranjeros;Ambos sexos;2019;1.551
ARAGÓN;9 años;TOTAL;Ambos sexos;2019;13.174
ARAGÓN;9 años;Españoles;Ambos sexos;2019;11.617
ARAGÓN;9 años;Extranjeros;Ambos sexos;2019;1.557
ARAGÓN;10 años;TOTAL;Ambos sexos;2019;13.663
