nombrecentro;pctextranjeros
CODEF;96.648
DE RUBIELOS DE MORA;96.0784
EL CARMEN;95.1219
DE LA ALMUNIA DE DOÑA GODINA;91.2429
LITERA;90.9091
EMILIO MORENO CALVETE;86.9767
ALTO GÁLLEGO;85.7143
TOSOS;85.7143
DE FUENTES DE EBRO;80.6306
SANTA ANA;80
ANDRÉS MANJÓN;77.3585
DE MUNIESA;76.6667
CUENCA MINERA;76.4706
EXEA;75.4098
SANTO DOMINGO;71.8919
JACETANIA;71.4286
APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);70.5882
ANTONIO BELTRÁN MARTÍNEZ;70.1835
Fundación Federico Ozanam;69.4915
LA PURÍSIMA PARA NIÑOS SORDOS;68.6274
SAN JOSÉ DE CALASANZ;61.0837
LUIS VIVES;60.8466
MARGEN IZQUIERDA;60.4752
FUNDACIÓN EL REFUGIO;60.3774
EMILIO NAVARRO;59.5506
JUAN XXIII;58.8808
CASA CANAL;58.6762
VILLA CRUZ;58.0756
MARCO VALERIO MARCIAL;57.3395
MARCOS FRECHÍN;57.2993
MIGUEL HERNÁNDEZ;57.0657
JOSÉ MARÍA MIR;56.9007
SOMONTANO-BAJO ARAGÓN;56.7901
FERNANDO EL CATÓLICO;56.6667
GÓMEZ LAFUENTE;56.3584
RÍO GUADALOPE;55.7143
ANA MAYAYO;54.717
RECARTE Y ORNAT;53.9048
Ayuntamiento de Huesca ( Fundación Municipal de Servicios Sociales );53.5714
CANTÍN Y GAMBOA;52.3026
CIUDAD DE ZARAGOZA;52.0095
ARZOBISPO DOMÉNECH;51.1628
MAESTRO MONREAL;51.0526
MATEO VALERO;50.6849
MIGUEL SERVET;50
DE PAÚLES DE SARSA;50
DE VILLANÚA;50
DE SENA;50
ERAS DEL JILOCA;50
L'ALBARDÍN;50
ZAGALICOS;50
MONSALUD;47.7558
COMPROMISO DE CASPE;47.3029
LUIS TURÓN;46.8085
JOAQUÍN COSTA;46.6102
JULIÁN SANZ IBÁÑEZ;46.2617
LA ANUNCIATA;46.0803
ISABEL DE SEGURA;45.9627
EL PARQUE;45.4545
ALEJO LORÉN ALBAREDA;45.2336
MINTE;45.2282
DE SARRIÓN;45.1852
MIGUEL SERVET;44.2935
DE LA ALMUNIA DE DOÑA GODINA;44.1558
PABLO ANTONIO CRESPO;44
TORRE RAMONA;43.1877
ADVENTISTA RIGEL;43.1373
PARQUE BRUIL;43.0233
RAMÓN J. SENDER;42.8571
PÍO XII;42.8
SANTA ANA;42.7673
CALIXTO ARIÑO-HILARIO VAL;42.268
FLORIÁN REY;42.2222
